speed,serial,camera,timestamp,latitude,longitude,horizontal_accuracy,gps_last_update_unix,notes,sourceFolder,flower?,boxes_xywh,confs,clss,GPSpoint
50.0,319522065401.0,RS2,20251031_194410_009156Z,39.6271288,-111.6369744,0.014,1761939849.6270454,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1527.64697265625, 880.0418701171875, 53.66552734375, 80.0181884765625]]",[0.4063847064971924],[0.0],['[  39.62713031 -111.63697717]']
50.0,319522065401.0,RS2,20251031_194410_261221Z,39.6271275,-111.6369744,0.014,1761939850.0361643,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1397.15625, 548.9326171875, 37.0250244140625, 61.64739990234375]]",[0.5056552886962891],[0.0],['[  39.62712974 -111.63697713]']
50.0,319522065401.0,RS2,20251031_194410_552439Z,39.6271264,-111.6369744,0.014,1761939850.4261072,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1313.0404052734375, 339.03533935546875, 30.295166015625, 53.118865966796875]]",[0.5437881946563721],[0.0],['[  39.62712942 -111.6369771 ]']
50.0,211622067750.0,RS3,20251031_194411_791366Z,39.6271236,-111.6369743,0.014,1761939851.6264498,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1793.741455078125, 453.6871337890625, 252.51708984375, 259.4527282714844]]",[0.9072649478912354],[2.0],['[  39.6271258  -111.63697321]']
50.0,211622067750.0,RS3,20251031_194412_063204Z,39.6271227,-111.6369742,0.014,1761939852.029102,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1691.93017578125, 341.6187744140625, 243.48779296875, 227.84124755859375], [734.6767578125, 39.752132415771484, 55.07928466796875, 24.07274627685547]]","[0.8947170972824097, 0.2567842900753021]","[2.0, 2.0]","['[  39.62712531 -111.6369731 ]', '[  39.62712801 -111.63697601]']"
50.0,211622067750.0,RS3,20251031_194412_326518Z,39.6271227,-111.6369742,0.014,1761939852.029102,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1576.8828125, 230.06570434570312, 195.3111572265625, 191.04559326171875]]",[0.924470841884613],[2.0],['[  39.62712587 -111.63697313]']
50.0,211622067750.0,RS3,20251031_194412_546421Z,39.627122,-111.6369742,0.014,1761939852.4366615,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1490.74169921875, 148.66183471679688, 166.0518798828125, 163.31402587890625]]",[0.9277065396308899],[2.0],['[  39.62712571 -111.63697317]']
50.0,217222062474.0,RS1,20251031_194412_788399Z,39.627122,-111.6369742,0.014,1761939852.4366615,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[629.357177734375, 1057.8157958984375, 57.17852783203125, 44.368408203125]]",[0.7321439385414124],[2.0],['[  39.62712329 -111.63698167]']
50.0,319522065401.0,RS2,20251031_194412_794767Z,39.627122,-111.6369742,0.014,1761939852.4366615,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1575.77734375, 348.6365966796875, 27.0238037109375, 82.9996337890625]]",[0.3956579864025116],[0.0],['[  39.62712491 -111.63697621]']
50.0,211622067750.0,RS3,20251031_194412_801795Z,39.627122,-111.6369742,0.014,1761939852.4366615,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1425.63623046875, 74.86929321289062, 140.6224365234375, 140.69644165039062], [545.4111938476562, 301.7762451171875, 28.064208984375, 58.359893798828125]]","[0.9063259959220886, 0.32444363832473755]","[2.0, 0.0]","['[  39.62712635 -111.63697316]', '[  39.62712514 -111.63697616]']"
